DATE,Australian Listed Equity [G],Int'l Listed Equity (Hedged) [G],Int'l Listed Equity (Unhedged) [G],Australian Listed Property [G],Int'l Listed Property [G],Int'l Listed Infrastructure [G],Australian Fixed Income [D],Int'l Fixed Income (Hedged) [D],Cash [D]
2000-12-29 00:00:00,0,0,0,0,0,0,0,0,0
2001-01-31 00:00:00,0.04319772670985578,0.026029918431049293,0.13823999999999992,-0.01385767472628141,0,0.009438455210633467,0.015003376108778887,0.01096597446505454,0.005364173752603785
2001-02-28 00:00:00,-0.0018742737189338943,-0.07867827877184153,-0.06785915096991846,-0.005185803111481868,0,-0.0058760454642934334,0.00667543545338023,0.010249568713298185,0.004694953174344096
2001-03-30 00:00:00,-0.04846584294137535,-0.04786838025558471,-0.07817153628652207,-0.03857325633666442,0,-0.0033652601604969856,0.005938539781438212,0.0071923499039801,0.004820988920355207
2001-04-30 00:00:00,0.05854531341477043,0.06975044918056916,0.04728748747520606,0.014773319905767135,0,0.006883116883116935,-0.00966120076746102,-0.006384457693313306,0.004350195286659364
2001-05-31 00:00:00,0.017157700457994363,-0.00710211488370438,0.022620105241577315,-0.003951903736587048,0,0.0082548690829356,-0.003771416699124175,0.005612579370282367,0.0040496918952992456
2001-06-29 00:00:00,0.03776881720430114,-0.0254015012241533,-0.01735593997021423,0.0549857220378791,0,0.005841968359558303,0.0006799015590235324,0.0065246565149243985,0.004008956076358761
2001-07-31 00:00:00,-0.04744439603913775,-0.021280574463310553,-0.05302632857281664,0.00038788451160276516,0,-0.0002119721892487325,0.004161462264137716,0.012291134450243879,0.0042208470060129955
2001-08-31 00:00:00,-0.0095807865119929,-0.062263757946048326,-0.006771175311884425,0.0484161904280247,0,0.009159140058516702,0.026625246880998876,0.00945100967677348,0.004432026351256724
2001-09-28 00:00:00,-0.06570368817268712,-0.08899893417543236,-0.13372309217865552,-0.0020742551172998613,0,-0.008319677297365491,0.01141925803703292,0.008455246861879262,0.004286951976623099
2001-10-31 00:00:00,0.0676539970986536,0.025292817951058755,0.06457920969165087,0.002368599142792638,0,0.0044065929409771165,0.016334505413631684,0.019456947351314202,0.003786274759077113
2001-11-30 00:00:00,0.03314295008539081,0.06249128207964261,0.10115140789856869,-0.006614798501824559,0,0.005399704703648922,-0.01069963210737801,-0.006506014121758552,0.0035708030728134332
2001-12-31 00:00:00,0.02649696338502361,0.010930586151236543,0.09482977836094908,0.032598406084388465,0,0.01191625057693102,-0.008785866310584534,-0.005488358403721971,0.0036228485350060513
2002-01-31 00:00:00,0.012900599904440035,-0.019522389391719575,0.04033037273774576,0.0006425123801165888,0,0.005390388522618972,0.00047301401013433164,0.004312584849973211,0.003565146723174095
2002-02-28 00:00:00,-0.011128970264509763,-0.0100427804241634,0.01848593907677465,-0.021619970870593308,0,-0.005608941312327254,0.005765340899420046,0.005154122188287369,0.0032932553651769947
2002-03-29 00:00:00,0.006495762736818511,0.039896125083694,0.05609090988802867,0.010788747048701364,0,0.007382522500103628,-0.008594409161567618,-0.0067683434026973854,0.0034829509782516865
2002-04-30 00:00:00,-0.018015751348694486,-0.045864586651371164,-0.0025489023944738065,0.006611609511215866,0,0.007945983778665289,0.014437892973127031,0.013874306218011334,0.0037773699163208274
