,Australian Listed Equity [G],Int'l Listed Equity (Hedged) [G],Int'l Listed Equity (Unhedged) [G],Australian Listed Property [G],Int'l Listed Property [G],Int'l Listed Infrastructure [G],Australian Fixed Income [D],Int'l Fixed Income (Hedged) [D],Cash [D]
Mean ,0.007653939395634356,0.006331125543855874,0.008569785658975815,0.006013905535822155,0.006148098064497665,0.004735627385535435,0.0037774465872969266,0.004240962101345199,0.0030200054118995
StDev,0.038509205072926836,0.04111269666242566,0.04719040577386185,0.0527589315398006,0.029574399420521355,0.014289447991654769,0.010442178782318625,0.00974867427342513,0.0016324143244695493
,,,,,,,,,
AnnMean,0.09581410218098685,0.07867562760248936,0.10782571827984544,0.07460239730015372,0.07632375865069485,0.058331270912751254,0.0462830793946587,0.05209554748780154,0.03684811450142811
AnnStDev,0.13339979949079686,0.1424185589109773,0.16347236086024083,0.18276229995996549,0.1024487247993571,0.04950009986731822,0.03617276838538714,0.033770398296023865,0.005654849097968972
ID #,1,2,3,4,5,6,7,8,9
,,,,,,,,,
Check,0.007261706565134876,0.004608274893208844,0.009982075052875702,0.0053432989257418085,0.0058656129324208125,0.00472089900601491,0.004666990823506449,0.005654343772059632,0.003577055221368747
