Australian Listed Equity [G],Int'l Listed Equity (Hedged) [G],Int'l Listed Equity (Unhedged) [G],Australian Listed Property [G],Int'l Listed Property [G],Int'l Listed Infrastructure [G],Australian Fixed Income [D],Int'l Fixed Income (Hedged) [D],Cash [D]
-0.0035,-0.0045,-0.0055,-0.0043,-0.0065,-0.012,-0.0017,-0.0018700000000000001,-0.000425
0.039697726709855774,0.021529918431049292,0.1327399999999999,-0.016217600264602013,-0.0065,-0.002561544789366533,0.011052869692462055,0.007451078295296358,0.004134547689713217
-0.005374273718933894,-0.08317827877184153,-0.07335915096991846,-0.008759790675874407,-0.0065,-0.017876045464293434,0.003974120135373195,0.006842133406303456,0.0035657101981924817
-0.05196584294137535,-0.052368380255584705,-0.08367153628652207,-0.0374730004495314,-0.0065,-0.015365260160496986,0.0033477588142224804,0.004243497418383084,0.0036728405823019256
0.055045313414770425,0.06525044918056916,0.04178748747520606,0.008405055118959734,-0.0065,-0.005116883116883065,-0.009912020652341867,-0.00729678903931631,0.003272665993660459
0.013657700457994363,-0.01160211488370438,0.017120105241577317,-0.007698637213464862,-0.0065,-0.0037451309170643994,-0.004905704194255549,0.0029006924647400115,0.0030172381110043587
0.03426881720430114,-0.0299015012241533,-0.022855939970214227,0.04298772095257603,-0.0065,-0.0061580316404416975,-0.0011220836748299975,0.003675958037685738,0.0029826126649049466
-0.05094439603913775,-0.025780574463310554,-0.05852632857281664,-0.003966419320021622,-0.0065,-0.012211972189248733,0.0018372429245170588,0.008577464282707297,0.003162719955111046
-0.0130807865119929,-0.06676375794604833,-0.012271175311884425,0.03733792376810124,-0.0065,-0.0028408599414832987,0.020931459848849043,0.006163358225257458,0.0033422223985682146
-0.06920368817268713,-0.09349893417543237,-0.13922309217865553,-0.006083859400877881,-0.0065,-0.02031967729736549,0.008006369331477982,0.005316959832597372,0.003218909180129634
0.0641539970986536,0.020792817951058754,0.059079209691650876,-0.0022630047371983313,-0.0065,-0.007593407059022884,0.01218432960158693,0.01466840524861707,0.0027933335452155457
0.02964295008539081,0.05799128207964261,0.09565140789856869,-0.009988726711569121,-0.0065,-0.006600295296351078,-0.010794687291271308,-0.00740011200349477,0.002610182611891418
0.02299696338502361,0.0064305861512365435,0.08932977836094907,0.023734629232574078,-0.0065,-8.374942306898017e-05,-0.009167986363996853,-0.006535104643163676,0.0026544212547551433
0.009400599904440036,-0.024022389391719575,0.03483037273774576,-0.0037474393530997335,-0.0065,-0.006609611477381028,-0.0012979380913858182,0.0017956971224772293,0.0026053747146979806
-0.014628970264509763,-0.0145427804241634,0.01298593907677465,-0.022893174948710245,-0.0065,-0.017608941312327254,0.003200539764507039,0.002511003860044263,0.0023742670604004453
0.002995762736818511,0.035396125083694004,0.050590909888028675,0.004978322461883173,-0.0065,-0.004617477499896373,-0.009005247787332474,-0.007623091892292778,0.0025355083315139336
-0.021515751348694486,-0.05036458665137116,-0.008048902394473806,0.0013859841796456443,-0.0065,-0.0040540162213347115,0.010572209027157976,0.009923160285309634,0.002785764428872703
0.004967052381321061,-0.015422375514204608,-0.03464172985841168,0.004568699263734339,-0.0065,-0.0052603545461971,-0.003999094485907127,0.0021168241409518277,0.0027235559320996946
-0.04543254868595187,-0.08185439071060235,-0.07006840083679128,-0.009911068289226908,-0.0065,-0.020439160952651515,0.009088634721449253,0.011419688662975418,0.0028865700968681548
-0.043727935689573394,-0.08887353538509607,-0.07072157554649189,-0.021850332677643608,-0.0065,-0.025462089283522216,0.007071933768224682,0.010865953636818375,0.0033010176595647065
0.012750289151052533,-0.002858478681550476,0.007138617890164739,0.0028140907381776674,-0.0065,-0.0035387805889672726,0.007164999280170605,0.012379211340441868,0.0030872617795340983
-0.04507261455389261,-0.11497382732014566,-0.08715340149886724,0.00010812181130048489,-0.0065,-0.011218557209837766,0.012639175699459717,0.012626285341713577,0.003087209263260624
0.023270988639811977,0.06948420625542079,0.042884205809478555,0.003344323752535964,-0.0065,-0.012410964533760883,-9.065104091039296e-05,-0.001990394727685208,0.00312093070224849
0.0077438961706502475,0.04899018279291884,0.04746980911961691,0.022152117712416732,-0.0065,-0.0010638490317806844,-0.0006400790185788748,-0.0001424737272217653,0.002966117301413182
-0.019447645974966673,-0.06873827328875409,-0.052404996131841956,0.0003807961498171257,-0.0065,-0.0013448289885720117,0.017304736327505055,0.014271350714385971,0.003089191390251131
-0.019906250000000066,-0.041028420874933684,-0.011342268764405411,-0.0032351533774752934,-0.0065,0.0007560259144501306,0.0017678278754697534,0.0053093004669008395,0.003024716195269259
-0.052725739961533125,-0.020842548195381613,-0.03442941022306883,-0.03468841759981909,-0.0065,-0.005245390972663733,0.006523654750954512,0.00790027033474943,0.0027082505422996923
0.035736398784866064,-0.009904163177737065,-0.03463729927234609,0.03832723854638117,-0.0065,-0.00939521667061326,-0.005467622483565652,-0.0005915904623832131,0.002967299852086944
0.039603047374819955,0.07815900621465616,0.04388522399230183,0.01588857525880685,-0.0065,0.0075638482128799304,0.002984995389023927,0.003108509944302467,0.0029031389501412794
0.00021311564157927869,0.037878219665780484,0.07627362988924996,0.026840283215205672,-0.0065,0.015141809196556288,0.011921342759781751,0.015763453679293042,0.003032210705402003
0.008854531263880642,0.01647235259736796,0.0373914527902049,-0.030420451129931615,-0.0065,-0.0036929784994739097,-0.0016371355845354414,-0.004101767729169304,0.0029009700800515766
0.029162450404598254,0.023992958293781178,0.056841392047250645,0.003354936156960517,-0.0065,-0.011179869524696951,-0.009138132692763533,-0.015297812270737227,0.002907772248576987
0.026429833932213157,0.01985180374985668,0.061437568008704986,-0.003978970869047179,-0.0065,-0.004401385629679389,-0.0018716534503108824,-0.0032457880618082086,0.002975647152529812
-0.004896722123017668,-0.020057695398225935,-0.016208651379216836,-0.02786215106850187,-0.0065,0.003156556134708676,0.0039745920052424956,0.01247651200529281,0.0029471032631095827
0.030044019923751778,0.049791167975657254,0.08391544111725008,0.016994416243654897,-0.0065,0.0017649757838387285,-0.011074477860311441,-0.0076577385488131545,0.0030435727680422882
-0.023718706228919192,0.002009033449464186,0.004044298556896092,0.010634769461164094,-0.0065,-0.0012237508531196435,-0.005654969988537438,0.001895004515162795,0.002841106346957176
0.03413061734726558,0.04046594406163168,0.06369556222767364,0.012759531223461386,-0.0065,0.007545826077685735,0.013210371345517625,0.00788342642746334,0.0033829542473282595
-0.011408068701346748,0.01240433007157055,0.03162227062272278,-0.005666623411770445,-0.0065,0.005044860399456185,-0.0032971851261887047,0.005705915406320576,0.0034625415918654616
0.027761676422966734,0.013277943910150861,0.032717191462383895,0.022633652121936524,-0.0065,0.0019831379806705234,0.009174325610534119,0.009570926729384147,0.003323816479912997
0.019704874835309753,-0.013500411573973133,-0.007414624294737765,0.024522379771403986,-0.0065,-0.009160819306428748,0.006182259717200357,0.004490637524976364,0.0036321429649249196
-0.0074219473461132855,-0.00836957792893461,-0.06344404435663747,-0.024684462398195054,-0.0065,-0.01783080552746873,-0.009570085862656128,-0.010301451714094563,0.0033882378604635248
0.0151958676261475,-0.0028689127285633177,-0.02915747067339574,0.046407845206449215,-0.0065,-0.014305319185001875,0.006018226519691407,-0.00022498629403737213,0.0035935354934180067
0.023381407731312646,0.016712055107242333,-0.007932078491695577,0.004253894670450912,-0.0065,-0.00856801114546889,0.0016308203419953553,0.0006578965582154366,0.0034128045364316653
-0.0007797627322860237,-0.03340440387301118,-0.021781169688129424,0.045868054107052546,-0.0065,-0.015115475787334954,0.001948180311992244,0.005512750485912148,0.0035094688657829913
0.008062124337511693,-0.00281988128587934,0.0403107974524451,0.007128234238912362,-0.0065,-0.01064121203886147,0.010284635824552258,0.013874862056589558,0.0035046457892997734
0.034507339425323746,0.008353369736178343,0.042111974560136,0.01603810854880024,-0.0065,-0.001856842390935521,0.004597920467539342,0.004867399936745169,0.0033620784424657517
0.02909959506646193,0.007823425760003114,0.0015505136434528829,0.009477143149714706,-0.0065,0.000828693286764947,0.004394603387876751,0.006102340887386897,0.003457774589337467
0.042284888883837024,0.028841707495531114,0.04620229105337265,0.021981964422694664,-0.0065,0.014492920852813517,0.007660504135443281,0.004004226281687721,0.003365197710304632
0.027949053059379617,0.028998306850742398,0.025770726972903564,0.04068698758523258,-0.0065,0.004054008656890106,-0.0018652901314433186,0.005938103307299695,0.0034561873653680213
0.010857947166126373,-0.014412549717225661,0.00453080045787641,-0.0005080306480177017,-0.0065,-0.015369893498648913,-0.0011383256958219386,0.0075014727542968606,0.0034453581439104456
0.01812055703807586,0.020466523343877167,0.06498218813165241,-0.01670021178490463,-0.0065,0.0023226259210820215,-0.003926835311438841,-0.0037168086635066444,0.002961771277399325
-0.013238988663691827,-0.014573969782897652,-0.052606847191980104,-0.015226501575115223,-0.0065,-0.013540977419963508,-0.0003132096285083915,0.004439299949042745,0.003567406727830755
-0.03497631072497315,-0.02737969612439922,-0.041826462823075276,-0.000592790127630843,-0.0065,-0.022362531103341955,0.01166470515031064,0.011123540530268865,0.0037938540475765587
0.02856413002711117,0.031034805644442224,0.03871518054532059,0.002268338663524846,-0.0065,-0.010535964353914674,0.007140618215022899,0.008004461523465626,0.0036950057815832464
0.044193016920829165,0.012318301554173187,0.03217614451248669,0.03417382597982919,-0.0065,0.0010617174092670927,0.003263636399582949,0.007784140107783381,0.0035137149594360955
0.022985758818134198,0.033086043784657355,0.06160982405335431,0.016708624221771405,-0.0065,0.007230165950371747,0.0021837359133396587,-0.005090710945501366,0.0036524470770081334
0.01663744968622655,-0.003653925854792568,0.007899189983758664,0.011727762738814596,-0.0065,-0.003166512773161035,0.005260443905184787,0.00757146507496405,0.003641228687675088
0.04742197740373105,0.02836951375197966,0.08134847163122366,-0.003274641359100737,-0.0065,0.004261402812948189,-0.006928062699964447,-0.003647102696311822,0.0034517454464374456
-0.04193079601796118,-0.023656970106775862,-0.06038228843416787,-0.019818357859899646,-0.0065,-0.02656019213449422,-0.0001875123240781081,-0.005659919744192483,0.0036334990910005666
0.04088128890326864,0.03770611714788314,0.06792964638036098,0.025024274303526276,-0.0065,0.0028057882711347674,0.004665060920736587,0.0035233803329998968,0.0035136925249204727
0.02753256933659493,0.01706827858400745,0.04893272034810454,0.04147436993985508,-0.0065,0.004120800936627599,0.006143009743447471,0.006373172217148874,0.0035927847930856097
0.03206757272300603,0.027640594794599186,0.07548063165241664,-0.014460538766310857,0.028769999999999914,0.0202618766249112,-0.00029478843597700996,-0.0024645599150471546,0.0036464681373965606
0.0023019437913972015,-0.0012680420367730495,-0.006032679052799856,0.025421332247262125,0.011215185410569047,-0.008622781911848943,0.003154177330726783,0.0009914198945681733,0.003234418656111035
0.04421100960540497,0.019953908379682198,0.008655818986401281,-0.009141372251407334,-0.014111924715976491,0.006226938216669541,-0.0007330237303546191,-0.009048642210693998,0.003604052201496352
0.022524437461311223,0.004582623672903578,0.047163847948466904,-0.0065736110500154874,0.004584650771334914,0.010158724822814113,-0.006445546307942333,-0.0050698806229598,0.00333371425146923
-0.05085952195674942,-0.0484130940623722,-0.0840988215093455,-0.016009221140656886,-0.014095679070735327,-0.02499057224292921,0.001687274161544651,0.002680480232298537,0.0036859436224511905
0.01690446558620479,0.0005152474868865319,-0.004962286145864187,0.04885540014845159,0.010532836105418615,-0.01305514522130279,-0.0002254556701624207,-0.0016611560193919579,0.0036590317891600026
-0.020311841323731924,0.00102233445628092,0.004850556911653097,0.016339420546185725,0.0031249367397049926,-0.00913698020902819,-0.0010088823767434125,0.007462921758274703,0.0036748408364247723
0.029928982886950065,0.02108907103528285,0.022870378190500258,0.0276470809823823,0.02135693731492911,-0.003463178025998593,0.007279561648252476,0.011878197106064341,0.004017116796102701
0.009612319750994806,0.013580771342663615,0.008817019722425162,0.02856930455160067,0.005601508173033571,-0.010708329898040592,0.005441850370755942,0.004598475881725232,0.003917434878475853
0.04363578861701717,0.02634518271906722,0.02956545577696363,0.0034514169174598365,0.03891804229499413,0.005703244222429637,-0.0032742451961852697,0.0024875328382484236,0.0038800725906724645
