Date,Australian Listed Equity [G],Int'l Listed Equity (Hedged) [G],Int'l Listed Equity (Unhedged) [G],Australian Listed Property [G],Int'l Listed Property [G],Int'l Listed Infrastructure [G],Australian Fixed Income [D],Int'l Fixed Income (Hedged) [D],Cash [D]
2005-05-31 00:00:00,152.26305773166314,92.03932192742222,175.70800000000003,162.46215430020436,100,136.23414296228952,129.74909055980697,143.05523382145446,125.00086325094951
2005-06-30 00:00:00,159.52494232047653,93.58726699843923,182.32800000000003,169.73022482677902,100,138.01359483915664,130.50676974653103,144.6800282572945,125.58009003921885
2005-07-29 00:00:00,163.75008146825343,97.10484211352899,194.56400000000002,173.8765021668518,100,140.66761917132098,131.1030683684117,144.13182525658425,126.18249729929042
2005-08-31 00:00:00,167.0475904949359,97.18700000981569,197.17100000000005,177.11702696055562,100,141.9102047885007,132.1766396074422,145.73278477934997,126.78612893505614
2005-09-30 00:00:00,175.55398412346673,100.38148944315198,214.29500000000004,177.3281996047933,100,144.21786379183447,131.36366577292654,145.42809992667654,127.36438487390369
2005-10-31 00:00:00,168.80730476947738,98.45848425061588,202.53400000000005,174.12838279070155,100,142.11802398579906,131.5974139206271,144.779675424003,127.97251221535849
2005-11-30 00:00:00,176.29919053143368,102.61403457110038,217.4060000000001,180.06581123370614,100,144.22219335844485,132.58285575194026,145.69832466406172,128.56550560036783
2005-12-30 00:00:00,181.77020738558596,104.82724265535884,229.24000000000012,189.64999618362683,100,146.54717062822016,133.80620708073621,147.11128511342164,129.1732097572108
2006-01-31 00:00:00,188.2353324556487,108.19645258497985,247.80400000000012,187.40936113914492,103.52699999999999,151.2750573667576,134.02741417429846,147.00838338026927,129.79194458983636
2006-02-28 00:00:00,189.32746327411132,108.54613897150479,247.6720000000001,193.88617031200965,105.36099999999996,151.7859462267827,134.79281751027588,147.50326892482528,130.35072466447753
2006-03-31 00:00:00,198.3604676929494,111.20051630888221,251.17800000000008,192.79468760866058,104.55899999999997,154.55253929081698,134.94616039951245,146.25753575715575,130.96859510468465
2006-04-28 00:00:00,203.52268727922103,112.21050875074837,264.4060000000001,192.28498978060088,105.71799999999998,157.97722647962937,134.19275657215374,145.7069396928838,131.5477404281139
2006-05-31 00:00:00,193.88395010232412,107.28299812519012,243.6240000000001,189.66695784179856,104.91499999999998,155.92501190630816,134.7275185215694,146.4869826914499,132.1839584805384
2006-06-30 00:00:00,197.84004848990443,107.82104891192313,243.75500000000008,201.390007887171,106.70199999999997,155.76048837511362,134.96123816687418,146.5229743674176,132.81906846695196
2006-07-31 00:00:00,194.51399298721273,108.41647280544178,246.27800000000008,206.22323238319774,107.72899999999997,156.206433735983,135.07097239058436,148.13178313866558,133.45970027960692
2006-08-31 00:00:00,201.01639793005458,111.19074962945504,253.2650000000001,213.88396529644734,110.72999999999996,157.53994025198074,136.4978878299616,150.52771837662223,134.15716331044794
2006-09-29 00:00:00,203.65218921490666,113.20116414892458,256.89100000000013,222.05863645229957,112.06999999999996,157.7434298826687,137.64476723090962,151.67323004232847,134.8425383047499
2006-10-31 00:00:00,213.25149575713328,116.69287474110928,265.8990000000001,224.06011211656053,117.15999999999995,160.53600034636528,137.3898418031528,152.45078425479042,135.5254876173528
2006-11-30 00:00:00,218.30676382027445,118.008235421145,283.2650000000001,235.77213708412134,120.61999999999996,163.8611075031389,138.42940968403101,153.7133645899342,136.2244554647977
2006-12-29 00:00:00,226.31978570590607,121.13131521344354,294.4530000000001,252.62269639479956,123.56999999999995,166.86582673074423,138.00925586800201,153.16008829447316,136.95137536476764
2007-01-31 00:00:00,230.5895042819713,123.30329711318535,293.61200000000014,259.1037459822072,126.21799999999996,169.08256483525994,138.65494914175014,153.17119210939939,137.7022985554557
2007-02-28 00:00:00,234.32596425824775,121.84658951480691,291.61200000000014,257.3940108384996,128.12099999999998,170.33380958566048,140.31435862341414,155.03586723666248,138.37980942913146
2007-03-30 00:00:00,242.06447071705085,123.6852773442483,301.0680000000001,247.29164723143333,131.521,172.43797895830625,139.9417753059234,155.13963047269706,139.10425991111651
2007-04-30 00:00:00,249.32374832175387,128.01122922740151,311.7150000000001,255.45274906074818,134.581,175.92328007966398,140.90985917821328,155.67022052559332,139.8658619648264
2007-05-31 00:00:00,255.9123792640483,132.32751258870977,323.91400000000016,266.2641099793916,135.58499999999998,179.98441356020257,140.97846444482897,154.76631255707454,140.6213575198584
2007-06-29 00:00:00,255.62287367858482,131.0402740559693,338.8760000000002,253.2401007522496,130.069,181.38719314196646,140.3434310670984,154.4006524448494,141.3504041568044
2007-07-31 00:00:00,250.40336561648647,127.0350520725972,355.15300000000025,241.72228677075472,125.35399999999997,181.3785340087457,141.28229998372518,156.64237866689126,142.09277209742632
2007-08-31 00:00:00,255.96653935894253,126.96997359561024,351.75400000000025,261.297736466717,127.00399999999998,178.60328181149063,142.49462088535856,158.8372965656666,142.8468887579082
2007-09-28 00:00:00,270.25326850632837,130.7769663417649,381.27300000000025,266.86964117612143,129.35699999999997,183.4350781486773,142.42555958041058,159.4793076579948,143.66487505457528
2007-10-31 00:00:00,278.20430934473444,133.57985610098436,415.4090000000003,266.2861601350149,134.397,189.23669740658957,142.36952387032898,160.93189723993618,144.4880900001831
2007-11-30 00:00:00,270.157722538681,127.8492201380094,389.8140000000003,249.6671274583804,134.67,186.9550158029181,143.0188654507355,163.33989351824374,145.29297992264424
2007-12-31 00:00:00,263.0380489330917,126.81336317323817,392.22800000000035,233.24909043108062,134.13099999999997,187.82525869160492,142.78828106896532,163.82664264669,146.1691422081322
2008-01-31 00:00:00,234.11173533897303,116.1532534330613,343.44800000000026,199.605641447508,129.04799999999997,185.0456769277395,144.53336875231054,167.10734134467197,147.04159652169463
2008-02-29 00:00:00,232.55184639649616,114.15339085367636,364.4430000000003,190.1783518356755,126.53299999999996,188.0157596224618,143.64301091328238,168.62109763124994,147.8376231176147
2008-03-31 00:00:00,224.5995672406376,111.72345082795907,349.06300000000033,190.06131639429077,126.05199999999996,184.0498766073516,145.94574796984568,169.37826294216632,148.82229560887964
2008-04-30 00:00:00,234.7336965731193,118.5875614711857,374.34300000000036,198.19443148762227,132.10099999999997,185.10196129367446,145.9680083409412,168.30205439720638,149.79443188683035
2008-05-30 00:00:00,238.74845210318435,120.48499661356325,381.27400000000034,181.0207525887731,137.18599999999995,188.79941117894094,146.1270802117273,167.13079336757642,150.7769564939041
2008-06-30 00:00:00,220.68446367819382,110.56568214611724,343.6100000000003,162.45536963693573,132.11799999999997,188.79075204572018,146.54740504213092,167.613713594324,151.72524736432234
2008-07-31 00:00:00,210.32404812492663,108.55467868115458,326.0940000000003,153.9855656288959,132.47999999999996,183.8680348097155,149.16694622766528,170.38583842417714,152.738535401987
2008-08-29 00:00:00,218.81714613449424,109.80942705419267,310.3210000000003,169.77093280639116,135.813,181.16205567822658,152.39270486880784,173.12388602891198,153.75865278859217
2008-09-30 00:00:00,197.0683160186138,97.9690705458542,271.90100000000024,159.5489895092144,124.03599999999996,169.2947135991687,154.35093346771274,174.20210474726375,154.65987860926592
2008-10-31 00:00:00,171.67896294172084,81.9324283204255,211.22700000000017,121.18171872482255,112.57299999999998,158.6309910377971,157.45031248601614,175.76649825880693,155.76476773173752
2008-11-28 00:00:00,160.87131926430905,76.95623153410475,202.78800000000018,118.36269113668553,109.37699999999997,152.05437935662638,162.11116675412165,181.4273379752385,156.61317790200715
2008-12-31 00:00:00,160.65083358316926,77.74355350079007,212.1100000000002,104.51264915658153,108.79099999999998,152.0024245573018,164.13429530819226,185.76423920680472,157.27987606040168
2009-01-30 00:00:00,152.87563382301178,72.22955132169174,205.8350000000002,94.35091974591435,104.04899999999998,153.6649781356886,166.44318888224163,183.4138678990625,157.9098912501339
2009-02-27 00:00:00,145.90468866092257,65.75954337092759,199.9730000000002,79.73336273354083,95.92999999999998,152.30549422002855,164.39916807207243,184.2590979490488,158.36942359922475
2009-03-31 00:00:00,157.67887169727697,69.9418416325568,220.8920000000002,79.24401889528721,95.59499999999998,153.3012945404165,164.58865199914393,186.3613564267158,158.78578222646416
2009-04-30 00:00:00,166.67407484651378,77.16849730557425,247.82200000000023,83.72359281843396,97.99699999999999,155.88171624020438,164.5944664878808,186.22571758403961,159.20550085781647
2009-05-29 00:00:00,169.10274124379208,81.50828940781518,278.7330000000003,85.01946350275205,100.49199999999998,162.2115426245833,163.41024894847553,185.14079828771514,159.60580226042256
2009-06-30 00:00:00,175.7991058044501,81.45283037388211,274.9460000000003,88.27440570590183,104.32499999999997,162.90860284885483,162.40650857907877,186.9045818552177,160.03272536347464
2009-07-31 00:00:00,188.70139603999112,87.49428232083773,302.01500000000027,90.39461297736467,108.25199999999998,167.0433389617699,162.91587489386438,188.54708496141424,160.45697502597773
2009-08-31 00:00:00,201.2286064366438,90.75129813402421,302.1600000000003,103.90881412566895,110.96999999999998,169.59345369528506,164.08310500539142,190.5659691045922,160.8629794480094
2009-09-30 00:00:00,213.83506915025353,93.54128017118667,321.19400000000036,113.6956908907415,112.89799999999998,174.7499675282504,165.2703152963524,191.9700273575026,161.31813312202215
2009-10-30 00:00:00,209.40645489265742,91.44149317314,319.93300000000033,103.28377702204169,110.00199999999998,174.9707754253799,165.14561731486359,192.22503221063553,161.73074821156513
